"","YM","DelayCountYM"
"2","01-13",327
"1568","02-13",278
"2942","03-13",305
"4470","04-13",335
"5708","05-13",340
"6999","06-13",339
"8415","07-13",417
"9266","08-13",361
"10137","09-13",315
"10876","10-13",343
"11697","11-13",404
"12699","12-13",324
"329","01-14",471
"1846","02-14",340
"3247","03-14",412
"4805","04-14",330
"6048","05-14",403
"7338","06-14",491
"8832","07-14",434
"9627","08-14",510
"10452","09-14",424
"11219","10-14",478
"12101","11-14",598
"13023","12-14",761
"800","01-15",768
"2186","02-15",756
"3659","03-15",811
"5135","04-15",573
"6451","05-15",548
"7829","06-15",586
