"Delays.Month","Delays.Yr","freq"
"April","2013",335
"April","2014",329
"April","2015",573
"August","2013",360
"August","2014",510
"August","2015",626
"February","2013",278
"February","2014",340
"February","2015",756
"January","2013",327
"January","2014",469
"January","2015",768
"July","2013",417
"July","2014",434
"July","2015",721
"June","2013",339
"June","2014",490
"June","2015",699
"March","2013",305
"March","2014",411
"March","2015",811
"May","2013",339
"May","2014",403
"May","2015",548
"November","2013",403
"November","2014",597
"November","2015",335
"October","2013",343
"October","2014",478
"October","2015",422
"September","2013",315
"September","2014",424
"September","2015",522
